Frequency (Hz)	Level (dB)
19336.816406	-73.357460
19379.882812	-74.277596
19422.949219	-74.326149
19466.015625	-73.902184
19509.082031	-74.227104
19552.148438	-74.336487
19595.214844	-74.447182
19638.281250	-74.382416
19681.347656	-74.029259
19724.414062	-74.086479
19767.480469	-73.324722
19810.546875	-72.737801
19853.613281	-63.423714
19896.679688	-71.639587
19939.746094	-74.290733
19982.812500	-74.294884
20025.878906	-74.338440
20068.945312	-74.536453
20112.011719	-74.543083
20155.078125	-74.195564
20198.144531	-74.052223
20241.210938	-73.847557
20284.277344	-73.388092
20327.343750	-72.320267
20370.410156	-68.679802
20413.476562	-55.483292
20456.542969	-63.276432
20499.609375	-69.225327
20542.675781	-72.460182
20585.742188	-73.352219
20628.808594	-73.519333
20671.875000	-73.832893
20714.941406	-71.756966
20758.007812	-73.567245
20801.074219	-73.886711
20844.140625	-73.974312
20887.207031	-73.821068
20930.273438	-73.345520
20973.339844	-71.798294
21016.406250	-69.786461
21059.472656	-73.416298
21102.539062	-73.824471
21145.605469	-74.110832
21188.671875	-74.214737
21231.738281	-73.309746
21274.804688	-71.974380
21317.871094	-66.711044
